CustomerID,Age,Annual Income (k$),Spending Score (1-100),Gender_Female,Gender_Male,Cluster,Cluster_Agglo,Cluster_DBSCAN
59,27,46,51,1,0,2,1,1
60,53,46,46,0,1,0,0,-1
61,70,46,56,0,1,0,0,-1
62,19,46,55,0,1,0,0,-1
63,67,47,52,1,0,2,1,-1
64,54,47,59,1,0,2,1,2
65,63,48,51,0,1,0,0,-1
66,18,48,59,0,1,0,0,-1
67,43,48,50,1,0,2,1,2
68,68,48,48,1,0,2,1,-1
69,19,48,59,0,1,0,0,-1
70,32,48,47,1,0,2,1,1
71,70,49,55,0,1,0,0,-1
72,47,49,42,1,0,2,1,2
73,60,50,49,1,0,2,1,-1
74,60,50,56,1,0,2,1,-1
75,59,54,47,0,1,0,0,-1
76,26,54,54,0,1,0,0,-1
77,45,54,53,1,0,2,1,2
78,40,54,48,0,1,0,0,-1
79,23,54,52,1,0,2,1,3
80,49,54,42,1,0,2,1,2
81,57,54,51,0,1,0,0,-1
82,38,54,55,0,1,0,0,-1
83,67,54,41,0,1,0,0,-1
84,46,54,44,1,0,2,1,2
85,21,54,57,1,0,2,1,-1
86,48,54,46,0,1,0,0,-1
87,55,57,58,1,0,2,1,-1
88,22,57,55,1,0,2,1,3
89,34,58,60,1,0,2,1,-1
90,50,58,46,1,0,2,1,2
91,68,59,55,1,0,2,1,-1
92,18,59,41,0,1,0,0,4
93,48,60,49,0,1,0,0,-1
94,40,60,40,1,0,2,1,-1
95,32,60,42,1,0,2,1,3
96,24,60,52,0,1,0,0,4
97,47,60,47,1,0,2,1,2
98,27,60,50,1,0,2,1,3
99,48,61,42,0,1,0,0,-1
100,20,61,49,0,1,0,0,4
101,23,62,41,1,0,1,1,3
102,49,62,48,1,0,2,1,2
103,67,62,59,0,1,0,0,-1
104,26,62,55,0,1,0,0,4
105,49,62,56,0,1,0,0,-1
106,21,62,42,1,0,1,1,5
107,66,63,50,1,0,2,1,-1
108,54,63,46,0,1,0,0,-1
109,68,63,43,0,1,0,0,-1
110,66,63,48,0,1,0,0,-1
111,65,63,52,0,1,0,0,-1
112,19,63,54,1,0,1,1,5
113,38,64,42,1,0,1,1,-1
114,19,64,46,0,1,0,0,4
115,18,65,48,1,0,1,1,5
116,19,65,50,1,0,1,1,5
117,63,65,43,1,0,1,1,-1
118,49,65,59,1,0,1,1,-1
119,51,67,43,1,0,1,1,-1
120,50,67,57,1,0,1,1,-1
121,27,67,56,0,1,0,0,-1
122,38,67,40,1,0,1,1,-1
123,40,69,58,1,0,1,1,-1
124,39,69,91,0,1,0,0,-1
125,23,70,29,1,0,1,1,-1
126,31,70,77,1,0,1,2,6
127,43,71,35,0,1,0,0,-1
128,40,71,95,0,1,0,0,-1
129,59,71,11,0,1,0,0,-1
130,38,71,75,0,1,0,0,-1
131,47,71,9,0,1,0,0,-1
132,39,71,75,0,1,0,0,-1
133,25,72,34,1,0,1,1,-1
134,31,72,71,1,0,1,2,6
135,20,73,5,0,1,0,0,-1
136,29,73,88,1,0,1,2,6
137,44,73,7,1,0,1,2,-1
138,32,73,73,0,1,0,0,-1
139,19,74,10,0,1,0,0,-1
140,35,74,72,1,0,1,2,6
141,57,75,5,1,0,1,2,-1
142,32,75,93,0,1,0,0,-1
143,28,76,40,1,0,1,1,-1
144,32,76,87,1,0,1,2,6
145,25,77,12,0,1,0,0,-1
146,28,77,97,0,1,0,0,-1
147,48,77,36,0,1,0,0,-1
148,32,77,74,1,0,1,2,6
149,34,78,22,1,0,1,2,-1
150,34,78,90,0,1,0,0,-1
151,43,78,17,0,1,0,0,-1
152,39,78,88,0,1,0,0,-1
153,44,78,20,1,0,1,2,-1
154,38,78,76,1,0,1,2,6
155,47,78,16,1,0,1,2,-1
156,27,78,89,1,0,1,2,6
157,37,78,1,0,1,0,0,-1
158,30,78,78,1,0,1,2,6
159,34,78,1,0,1,0,0,-1
160,30,78,73,1,0,1,2,6
161,56,79,35,1,0,1,2,-1
162,29,79,83,1,0,1,2,6
163,19,81,5,0,1,0,0,-1
164,31,81,93,1,0,1,2,6
165,50,85,26,0,1,0,0,-1
166,36,85,75,1,0,1,2,-1
167,42,86,20,0,1,0,0,-1
168,33,86,95,1,0,1,2,6
169,36,87,27,1,0,1,2,-1
170,32,87,63,0,1,0,0,-1
171,40,87,13,0,1,0,0,-1
172,28,87,75,0,1,0,0,-1
173,36,87,10,0,1,0,0,-1
174,36,87,92,0,1,0,0,-1
175,52,88,13,1,0,1,2,-1
176,30,88,86,1,0,1,2,6
177,58,88,15,0,1,0,0,-1
178,27,88,69,0,1,0,0,-1
179,59,93,14,0,1,0,0,-1
180,35,93,90,0,1,0,0,-1
181,37,97,32,1,0,1,2,-1
182,32,97,86,1,0,1,2,6
183,46,98,15,0,1,0,0,-1
184,29,98,88,1,0,1,2,6
185,41,99,39,1,0,1,2,-1
186,30,99,97,0,1,0,0,-1
187,54,101,24,1,0,1,2,-1
188,28,101,68,0,1,0,0,-1
189,41,103,17,1,0,1,2,-1
190,36,103,85,1,0,1,2,-1
191,34,103,23,1,0,1,2,-1
192,32,103,69,1,0,1,2,-1
193,33,113,8,0,1,0,0,-1
194,38,113,91,1,0,1,2,-1
195,47,120,16,1,0,1,2,-1
196,35,120,79,1,0,1,2,-1
197,45,126,28,1,0,1,2,-1
198,32,126,74,0,1,0,0,-1
199,32,137,18,0,1,0,0,-1
200,30,137,83,0,1,0,0,-1
